"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1252","Check displaying of dashboard page","LMS system","2026-09-26","passed","2026-09-26","Dashboard","Dashboard","",""
"","1552","Registration with correct email, username and password","LMS system","2026-09-26","passed","2026-09-26","Registration","Authentication","",""
"","1534","Attempt to login with email:   ","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1290","Attempt to login with email: user.name@gmail.com","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","2213","User login with correct email and password","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1259","Attempt to login with email:   ","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1116","Check displaying of empty courses list","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","1462","Navigation from login page to registration page","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1938","Create course","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","1241","Navigation from login page to registration page","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1648","Check displaying of dashboard page","LMS system","2026-09-26","passed","2026-09-26","Dashboard","Dashboard","",""
"","1604","Attempt to login with email: user.name@gmail.com","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1225","Attempt to login with email: user.name@gmail.com","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","3833","Edit course","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","1383","Attempt to login with email: user.name@gmail.com","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
"","1800","Registration with correct email, username and password","LMS system","2026-09-26","passed","2026-09-26","Registration","Authentication","",""
"","2556","Edit course","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","1980","Check displaying of empty courses list","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","1900","Create course","LMS system","2026-09-26","passed","2026-09-26","Courses","Courses","",""
"","5704","User login with correct email and password","LMS system","2026-09-26","passed","2026-09-26","Authorization","Authentication","",""
